iter	Passed	Remaining
477	686	749
478	687	747
479	689	746
480	690	744
481	691	743
482	692	741
483	693	739
484	695	738
485	696	736
486	697	735
487	699	733
488	700	732
489	701	730
490	703	728
491	704	727
492	705	725
493	706	723
494	709	724
495	710	722
496	712	720
497	713	719
498	715	718
499	716	716
500	718	715
501	719	713
502	720	711
503	721	710
504	722	708
505	724	706
506	725	705
507	727	704
508	728	703
509	730	701
510	731	700
511	733	698
512	734	697
513	735	695
514	736	693
515	738	692
516	739	690
517	740	689
518	742	687
519	743	686
520	745	684
521	746	683
522	747	681
523	748	680
524	750	678
525	751	677
526	753	676
527	755	675
528	757	674
529	759	673
530	761	672
531	762	670
532	763	669
533	765	667
534	766	666
535	767	664
536	770	664
537	773	664
538	775	663
539	777	662
540	778	660
541	779	658
542	780	657
543	782	655
544	784	655
545	787	654
546	789	653
547	790	652
548	792	650
549	793	649
550	794	647
551	796	646
552	797	644
553	800	644
554	802	643
555	803	641
556	805	640
557	806	638
558	807	636
559	808	635
560	810	634
561	811	632
562	813	631
563	816	631
564	818	630
565	820	628
566	821	627
567	823	625
568	824	624
569	825	623
570	827	621
571	829	620
572	832	620
573	833	618
574	835	617
575	836	616
576	838	614
577	840	613
578	841	611
579	843	610
580	845	609
581	848	609
582	849	607
583	850	606
584	852	604
585	853	603
586	854	601
587	856	600
588	858	598
589	862	599
590	863	597
591	865	596
592	866	594
593	867	592
594	868	591
595	870	590
596	873	589
597	876	588
598	877	587
599	878	585
600	880	584
601	881	582
602	882	580
603	883	579
604	887	579
605	889	578
606	891	577
607	892	575
608	894	574
609	895	572
610	896	570
611	898	569
612	901	569
613	904	568
614	905	566
615	907	565
616	908	563
617	909	562
618	911	560
619	912	559
620	915	558
621	918	558
622	919	556
623	921	555
624	922	553
625	924	552
626	925	550
627	926	548
628	928	547
629	930	546
630	933	545
631	934	544
632	936	542
633	937	541
634	938	539
635	940	538
636	941	536
637	942	534
638	945	534
639	947	532
640	949	531
641	950	529
642	951	528
643	952	526
644	954	525
645	955	523
646	959	523
647	961	522
648	962	520
649	964	519
650	966	518
651	967	516
652	974	518
653	978	517
654	980	516
655	982	515
656	984	514
657	987	513
658	990	512
659	991	510
660	992	509
661	994	507
662	995	505
663	996	504
664	998	502
665	1001	502
666	1003	501
667	1005	499
668	1007	498
669	1008	496
670	1010	495
671	1012	494
672	1013	492
673	1017	492
674	1019	490
675	1020	489
676	1022	487
677	1024	486
678	1026	485
679	1028	483
680	1032	483
681	1033	482
682	1035	480
683	1037	479
684	1039	478
685	1040	476
686	1042	474
687	1045	474
688	1048	473
689	1050	471
690	1051	470
691	1054	469
692	1056	467
693	1057	466
694	1064	467
695	1067	466
696	1069	465
697	1072	464
698	1074	462
699	1078	462
700	1083	462
701	1085	460
702	1087	459
703	1091	459
704	1094	458
705	1096	456
706	1099	455
707	1101	454
708	1102	452
709	1107	452
710	1109	451
711	1111	449
712	1113	448
713	1115	446
714	1116	445
715	1119	443
716	1121	442
717	1122	441
718	1124	439
719	1126	438
720	1128	436
721	1131	435
722	1133	434
723	1135	433
724	1137	431
725	1139	429
726	1140	428
727	1142	426
728	1144	425
729	1145	423
730	1148	422
731	1151	421
732	1154	420
733	1155	418
734	1157	417
735	1158	415
736	1160	413
737	1162	412
738	1166	411
739	1167	410
740	1169	408
741	1171	407
742	1173	405
743	1180	406
744	1182	404
745	1184	403
746	1185	401
747	1187	400
748	1189	398
749	1192	397
750	1195	396
751	1197	394
752	1199	393
753	1202	392
754	1203	390
755	1205	389
756	1208	388
757	1211	386
758	1212	385
759	1214	383
760	1216	382
761	1218	380
762	1220	378
763	1224	378
764	1227	377
765	1229	375
766	1231	374
767	1233	372
768	1238	372
769	1243	371
770	1244	369
771	1246	368
772	1247	366
773	1249	364
774	1252	363
775	1254	362
776	1257	360
777	1258	359
778	1260	357
779	1262	355
780	1263	354
781	1265	352
782	1267	351
783	1268	349
784	1270	347
785	1272	346
786	1273	344
787	1275	343
788	1277	341
789	1280	340
790	1283	339
791	1284	337
792	1286	335
793	1288	334
794	1290	332
795	1291	331
796	1293	329
797	1297	328
798	1298	326
799	1300	325
800	1302	323
801	1304	321
802	1305	320
803	1306	318
804	1309	317
805	1311	315
806	1314	314
807	1316	312
808	1318	311
809	1319	309
810	1321	307
811	1323	306
812	1325	304
813	1327	303
814	1329	301
815	1330	300
816	1332	298
817	1333	296
818	1335	295
819	1336	293
820	1341	292
821	1342	290
822	1344	289
823	1346	287
824	1347	285
825	1349	284
826	1352	282
827	1355	281
828	1357	279
829	1359	278
830	1360	276
831	1361	274
832	1363	273
833	1364	271
834	1366	270
835	1369	268
836	1371	267
837	1372	265
838	1374	263
839	1375	261
840	1376	260
841	1377	258
842	1379	256
843	1381	255
844	1383	253
845	1384	252
846	1386	250
847	1387	248
848	1389	247
849	1390	245
850	1391	243
851	1393	241
852	1395	240
853	1397	238
854	1398	237
855	1400	235
856	1401	233
857	1402	232
858	1404	230
859	1405	228
860	1406	227
861	1408	225
862	1410	223
863	1413	222
864	1414	220
865	1415	219
866	1416	217
867	1417	215
868	1419	213
869	1420	212
870	1422	210
871	1423	208
872	1425	207
873	1427	205
874	1428	204
875	1429	202
876	1430	200
877	1431	198
878	1433	197
879	1434	195
880	1435	193
881	1437	192
882	1440	190
883	1441	189
884	1443	187
885	1444	185
886	1445	184
887	1447	182
888	1448	180
889	1450	179
890	1451	177
891	1453	175
892	1455	174
893	1456	172
894	1457	171
895	1459	169
896	1460	167
897	1461	166
898	1462	164
899	1464	162
900	1465	161
901	1466	159
902	1468	157
903	1469	156
904	1471	154
905	1472	152
906	1473	151
907	1474	149
908	1475	147
909	1477	146
910	1478	144
911	1479	142
912	1480	141
913	1482	139
914	1484	137
915	1485	136
916	1486	134
917	1487	132
918	1488	131
919	1489	129
920	1491	127
921	1492	126
922	1493	124
923	1494	122
924	1495	121
925	1497	119
926	1499	118
927	1500	116
928	1502	114
929	1503	113
930	1504	111
931	1505	109
932	1506	108
933	1508	106
934	1509	104
935	1510	103
936	1511	101
937	1513	100
938	1514	98
939	1515	96
940	1516	95
941	1517	93
942	1519	91
943	1520	90
944	1521	88
945	1522	86
946	1523	85
947	1524	83
948	1526	82
949	1528	80
950	1529	78
951	1531	77
952	1532	75
953	1533	73
954	1534	72
955	1535	70
956	1537	69
957	1538	67
958	1539	65
959	1541	64
960	1542	62
961	1543	60
962	1545	59
963	1546	57
964	1547	56
965	1548	54
966	1549	52
967	1550	51
968	1552	49
969	1553	48
970	1555	46
971	1556	44
972	1558	43
973	1559	41
974	1560	40
975	1562	38
976	1563	36
977	1564	35
978	1565	33
979	1566	31
980	1568	30
981	1570	28
982	1571	27
983	1572	25
984	1573	23
985	1575	22
986	1576	20
987	1577	19
988	1578	17
989	1579	15
990	1580	14
991	1582	12
992	1583	11
993	1584	9
994	1585	7
995	1587	6
996	1588	4
997	1589	3
998	1591	1
999	1592	0
